Teams,URL
Sunrisers Hyderabad,https://drive.google.com/uc?export=view&id=1LNd2IlLhZFeVeaQyBpEQlchBF41MT85g
Mumbai Indians,https://drive.google.com/uc?export=view&id=1RUwt9MauPvWi7cY1Idha8AJlWKR2OB6G
Gujarat Lions,https://drive.google.com/uc?export=view&id=17_e52J_XP1He-IzkgYYbdN8piu6GeR1N
Rising Pune Supergiant,https://drive.google.com/uc?export=view&id=1TMrkIueK1QaF7IH5G3g0Eh1_Seyfzg18
Royal Challengers Bangalore,https://drive.google.com/uc?export=view&id=1HvMzksEW5UDYX4PK7oLhGuUTqy1xnJaU
Delhi Daredevils,https://drive.google.com/uc?export=view&id=1oA78jtDqF0A6QtQh1Mt84SklL2uow3Ax
Kings XI Punjab,https://drive.google.com/uc?export=view&id=1VKbEwldcdt12Ni_NT5BVYZvc8uZruqjL
Kolkata Knight Riders,https://drive.google.com/uc?export=view&id=1bJOJCfYc2TyWbrNfqv2ZV1u1N1ztx06Q
Rajasthan Royals,https://drive.google.com/uc?export=view&id=1C0EBOSM0AEu891IrwpOYZPpi60bh2Hjc
Chennai Super Kings,https://drive.google.com/file/d/1Ty9AfweqYMb-sqEf8rEGNLc2wAGxjAI6/view?usp=drive_link
Deccan Chargers,https://drive.google.com/uc?export=view&id=1pXl8cjdswpO_HHggnJjN-MFgqKqAci5J
Kochi Tuskers Kerala,https://drive.google.com/uc?export=view&id=1f6J4qyI-cTcj22cOF-Q0iSL8AYTLvDBo
Pune Warriors,https://drive.google.com/uc?export=view&id=1Ae_2dHG5NNSuFvJ49_qPbR6Wnfmxt-gi
